,ITEM_ID,ALTURA,COR,LARGURA,MARCA,PROFUNDIDADE,SESSION_ID,ITEM_PRICE,INTERESTED
291,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,495.708465827,94.99,0.0
848,260009638,54.0,PRETO,29.0,PANELA MINEIRA,46.0,878.7826756339999,96.24,0.0
3284,260009638,54.0,PRETO,29.0,PANELA MINEIRA,46.0,776.5327502485,97.49,0.0
5222,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,674.2828248630001,98.74,0.0
5857,260009702,46.0,PRETO,30.0,PANELA MINEIRA,41.0,77.8475823119,85.82333333333332,0.0
5874,260008826,26.0,PRETO,29.0,FUMIL,45.0,254.013062008,72.90666666666667,0.0
6395,260008826,26.0,PRETO,29.0,FUMIL,45.0,489.564329084,59.99,0.0
7383,260023590,26.0,PRETO,29.0,PANELA MINEIRA,45.0,174.471603722,47.99,0.0
7677,260009638,54.0,PRETO,29.0,PANELA MINEIRA,46.0,962.5274005289999,70.995,0.0
9049,260009702,46.0,PRETO,30.0,PANELA MINEIRA,41.0,288.866553561,65.07666666666667,0.0
9051,260009702,46.0,PRETO,30.0,PANELA MINEIRA,41.0,550.935809036,59.15833333333334,0.0
13125,260009638,54.0,PRETO,29.0,PANELA MINEIRA,46.0,284.005247999,53.24,0.0
13855,260009638,54.0,PRETO,29.0,PANELA MINEIRA,46.0,492.758799041,54.99,0.0
14566,260008826,26.0,PRETO,29.0,FUMIL,45.0,790.148167756,51.49,0.0
14904,260023590,26.0,PRETO,29.0,PANELA MINEIRA,45.0,774.576577413,47.99,0.0
15099,260009638,54.0,PRETO,29.0,PANELA MINEIRA,46.0,825.8559840810001,54.99,0.0
17182,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,126.627046512,94.99,0.0
17280,260023590,26.0,PRETO,29.0,PANELA MINEIRA,45.0,192.022975007,47.99,0.0
18876,260009638,54.0,PRETO,29.0,PANELA MINEIRA,46.0,256.29260504,76.33,0.0
19775,260009638,54.0,PRETO,29.0,PANELA MINEIRA,46.0,685.177630465,69.21666666666667,0.0
20071,260023590,26.0,PRETO,29.0,PANELA MINEIRA,45.0,322.300490318,62.10333333333333,0.0
20109,260009638,54.0,PRETO,29.0,PANELA MINEIRA,46.0,308.678985463,54.99,0.0
20280,260009638,54.0,PRETO,29.0,PANELA MINEIRA,46.0,517.50485029,54.99,1.0
20301,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,563.590280647,98.74,0.0
21883,260009702,46.0,PRETO,30.0,PANELA MINEIRA,41.0,709.3447908060001,99.99,0.0
22304,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,266.764468665,98.74,0.0
23389,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,885.041765612,94.99,0.0
24690,260008826,26.0,PRETO,29.0,FUMIL,45.0,514.167609955,59.99,0.0
24992,260009638,54.0,PRETO,29.0,PANELA MINEIRA,46.0,41.3029120608,70.995,0.0
25263,260008826,26.0,PRETO,29.0,FUMIL,45.0,904.5456655439999,82.9925,0.0
25548,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,175.62384026900003,94.99,1.0
25574,260023590,26.0,PRETO,29.0,PANELA MINEIRA,45.0,666.528555712,94.99,0.0
25612,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,419.73254859699995,94.99,1.0
26166,260009638,54.0,PRETO,29.0,PANELA MINEIRA,46.0,817.1743389530001,54.99,0.0
27226,260009702,46.0,PRETO,30.0,PANELA MINEIRA,41.0,328.77487963,68.32333333333334,0.0
28892,260009638,54.0,PRETO,29.0,PANELA MINEIRA,46.0,567.527210618,81.65666666666667,0.0
29577,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,36.504386155,94.99,0.0
30719,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,688.9585529289999,94.99,0.0
31055,260009702,46.0,PRETO,30.0,PANELA MINEIRA,41.0,480.62775513800005,96.6566666667,0.0
31282,260023590,26.0,PRETO,29.0,PANELA MINEIRA,45.0,41.3029120608,95.82333333335,0.0
31515,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,874.0870986660001,94.99,0.0
32709,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,556.915201934,94.99,0.0
33341,260008826,26.0,PRETO,29.0,FUMIL,45.0,655.761001002,58.49,0.0
33798,260023590,26.0,PRETO,29.0,PANELA MINEIRA,45.0,133.900953559,47.99,0.0
34407,260009702,46.0,PRETO,30.0,PANELA MINEIRA,41.0,958.109945301,96.6566666667,0.0
34454,260023590,26.0,PRETO,29.0,PANELA MINEIRA,45.0,581.598761126,95.82333333335,0.0
36252,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,233.146040182,94.99,0.0
36650,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,509.574565766,94.99,0.0
37618,260009702,46.0,PRETO,30.0,PANELA MINEIRA,41.0,239.06681531599997,94.99,0.0
38347,260008826,26.0,PRETO,29.0,FUMIL,45.0,310.485548872,94.99,0.0
38389,260009702,46.0,PRETO,30.0,PANELA MINEIRA,41.0,594.0843935280001,94.99,1.0
38646,260023590,26.0,PRETO,29.0,PANELA MINEIRA,45.0,794.142255393,96.865,0.0
38691,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,43.943728278100004,98.74,0.0
38898,260009702,46.0,PRETO,30.0,PANELA MINEIRA,41.0,899.186030914,96.865,0.0
39061,260009702,46.0,PRETO,30.0,PANELA MINEIRA,41.0,317.297028497,94.99,0.0
39455,260023590,26.0,PRETO,29.0,PANELA MINEIRA,45.0,407.546493664,47.99,0.0
39759,260023590,26.0,PRETO,29.0,PANELA MINEIRA,45.0,419.73254859699995,71.49,0.0
40334,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,673.36394032,94.99,0.0
41148,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,70.55231829899999,94.99,0.0
41190,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,3.7459724430900003,94.99,1.0
41249,260009702,46.0,PRETO,30.0,PANELA MINEIRA,41.0,55.3886786896,94.99,0.0
41892,260009638,54.0,PRETO,29.0,PANELA MINEIRA,46.0,966.334428097,94.99,0.0
43609,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,67.998871328,94.99,1.0
44907,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,483.061952295,94.99,0.0
46023,260023590,26.0,PRETO,29.0,PANELA MINEIRA,45.0,277.474110488,47.99,0.0
46636,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,707.317564685,98.74,0.0
47501,260009702,46.0,PRETO,30.0,PANELA MINEIRA,41.0,702.1704530889999,96.4185714286,0.0
49383,260023590,26.0,PRETO,29.0,PANELA MINEIRA,45.0,841.0306009560001,72.2042857143,0.0
49701,260023590,26.0,PRETO,29.0,PANELA MINEIRA,45.0,934.369768208,47.99,0.0
50083,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,591.6861294509999,63.656666666666666,0.0
50241,260009702,46.0,PRETO,30.0,PANELA MINEIRA,41.0,394.082856511,79.32333333333332,0.0
50642,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,468.904344948,94.99,0.0
50840,260023590,26.0,PRETO,29.0,PANELA MINEIRA,45.0,615.247494944,94.99,0.0
51865,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,621.831593479,94.99,0.0
52409,260009638,54.0,PRETO,29.0,PANELA MINEIRA,46.0,516.173260184,74.99,0.0
53718,260009638,54.0,PRETO,29.0,PANELA MINEIRA,46.0,820.282923935,54.99,0.0
53729,260009638,54.0,PRETO,29.0,PANELA MINEIRA,46.0,450.111208742,74.99,0.0
53810,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,103.60919158200001,94.99,1.0
55419,260009702,46.0,PRETO,30.0,PANELA MINEIRA,41.0,454.98916011,94.99,0.0
57971,260023590,26.0,PRETO,29.0,PANELA MINEIRA,45.0,679.7674128269999,47.99,0.0
58182,260009702,46.0,PRETO,30.0,PANELA MINEIRA,41.0,904.5456655439999,47.99,0.0
59055,260023590,26.0,PRETO,29.0,PANELA MINEIRA,45.0,769.986618802,47.99,0.0
59529,260009702,46.0,PRETO,30.0,PANELA MINEIRA,41.0,318.306270367,49.3025,0.0
59888,260009638,54.0,PRETO,29.0,PANELA MINEIRA,46.0,28.7173861056,50.615,0.0
60478,260009702,46.0,PRETO,30.0,PANELA MINEIRA,41.0,986.161383108,51.9275,0.0
61587,260009638,54.0,PRETO,29.0,PANELA MINEIRA,46.0,100.80045376,53.24,0.0
61729,260009638,54.0,PRETO,29.0,PANELA MINEIRA,46.0,283.184010876,76.615,0.0
62551,260009702,46.0,PRETO,30.0,PANELA MINEIRA,41.0,483.061952295,99.99,0.0
63109,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,862.202352161,94.99,0.0
63974,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,228.413298637,94.99,0.0
63977,260008826,26.0,PRETO,29.0,FUMIL,45.0,704.194946324,59.99,0.0
65472,260009702,46.0,PRETO,30.0,PANELA MINEIRA,41.0,913.9442038980001,65.4925,0.0
65757,260009638,54.0,PRETO,29.0,PANELA MINEIRA,46.0,724.056730921,70.995,0.0
66711,260023590,26.0,PRETO,29.0,PANELA MINEIRA,45.0,789.897700278,47.99,0.0
67438,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,8.01452631151,94.99,0.0
68600,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,137.293847781,98.74,0.0
69809,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,724.056730921,94.99,0.0
70509,260023590,26.0,PRETO,29.0,PANELA MINEIRA,45.0,389.045223304,47.99,0.0
70910,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,162.033084927,98.74,0.0
71913,260009638,54.0,PRETO,29.0,PANELA MINEIRA,46.0,859.383508308,54.99,0.0
72657,260023590,26.0,PRETO,29.0,PANELA MINEIRA,45.0,442.068824567,77.49,0.0
73743,260009702,46.0,PRETO,30.0,PANELA MINEIRA,41.0,885.164105543,99.99,0.0
75991,260009638,54.0,PRETO,29.0,PANELA MINEIRA,46.0,958.949857528,54.99,1.0
76411,260009638,54.0,PRETO,29.0,PANELA MINEIRA,46.0,505.247076801,57.49,0.0
76744,260008826,26.0,PRETO,29.0,FUMIL,45.0,295.166880612,59.99,0.0
77298,260009638,54.0,PRETO,29.0,PANELA MINEIRA,46.0,77.1034574877,70.995,0.0
77664,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,960.2067130410001,94.99,1.0
79109,260009702,46.0,PRETO,30.0,PANELA MINEIRA,41.0,371.076429769,99.99,1.0
79428,260009702,46.0,PRETO,30.0,PANELA MINEIRA,41.0,798.249158007,94.99,1.0
79577,260023590,26.0,PRETO,29.0,PANELA MINEIRA,45.0,544.87987892,95.4661904762,0.0
80037,260008826,26.0,PRETO,29.0,FUMIL,45.0,540.748824433,95.9423809524,0.0
81034,260009702,46.0,PRETO,30.0,PANELA MINEIRA,41.0,772.2076435160001,96.4185714286,0.0
81075,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,997.1107503730001,94.99,0.0
81249,260009702,46.0,PRETO,30.0,PANELA MINEIRA,41.0,419.73254859699995,94.99,0.0
81775,260023590,26.0,PRETO,29.0,PANELA MINEIRA,45.0,244.147792636,94.99,0.0
82861,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,283.716624715,94.99,0.0
83447,260023590,26.0,PRETO,29.0,PANELA MINEIRA,45.0,139.579224297,47.99,0.0
84306,260009702,46.0,PRETO,30.0,PANELA MINEIRA,41.0,257.520797582,99.99,0.0
84465,260009638,54.0,PRETO,29.0,PANELA MINEIRA,46.0,384.086883284,54.99,0.0
84576,260009638,54.0,PRETO,29.0,PANELA MINEIRA,46.0,559.840927085,54.99,0.0
85493,260009702,46.0,PRETO,30.0,PANELA MINEIRA,41.0,126.627046512,96.6566666667,0.0
86126,260009702,46.0,PRETO,30.0,PANELA MINEIRA,41.0,713.497940167,98.99,0.0
86802,260023590,26.0,PRETO,29.0,PANELA MINEIRA,45.0,467.295042188,47.99,0.0
87392,260023590,26.0,PRETO,29.0,PANELA MINEIRA,45.0,305.17073405,47.99,0.0
87834,260008826,26.0,PRETO,29.0,FUMIL,45.0,388.05162796,59.99,0.0
88409,260023590,26.0,PRETO,29.0,PANELA MINEIRA,45.0,716.0747374619999,72.21222222223334,0.0
88577,260009638,54.0,PRETO,29.0,PANELA MINEIRA,46.0,10.994163283099999,84.43444444446666,0.0
88888,260009702,46.0,PRETO,30.0,PANELA MINEIRA,41.0,118.810585906,96.6566666667,0.0
89220,260023590,26.0,PRETO,29.0,PANELA MINEIRA,45.0,384.65092721599996,73.9812280702,0.0
90250,260009638,54.0,PRETO,29.0,PANELA MINEIRA,46.0,750.543926476,51.305789473699996,0.0
91002,260009702,46.0,PRETO,30.0,PANELA MINEIRA,41.0,914.447626952,73.14789473684999,0.0
91310,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,724.717217745,94.99,0.0
91665,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,231.47203371,94.99,1.0
92369,260023590,26.0,PRETO,29.0,PANELA MINEIRA,45.0,740.556692282,47.99,0.0
93177,260023590,26.0,PRETO,29.0,PANELA MINEIRA,45.0,113.589725953,47.99,0.0
93547,260009638,54.0,PRETO,29.0,PANELA MINEIRA,46.0,504.59236191300005,53.24,0.0
95140,260009702,46.0,PRETO,30.0,PANELA MINEIRA,41.0,367.13915098800004,74.115,0.0
98770,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,426.355223902,94.99,0.0
98903,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,424.19278868199996,98.74,0.0
99027,260008826,26.0,PRETO,29.0,FUMIL,45.0,193.96701372099997,59.99,0.0
99715,260023590,26.0,PRETO,29.0,PANELA MINEIRA,45.0,847.964788106,47.99,0.0
100335,260009638,54.0,PRETO,29.0,PANELA MINEIRA,46.0,530.259420877,70.995,0.0
100792,260009638,54.0,PRETO,29.0,PANELA MINEIRA,46.0,747.227688759,70.995,0.0
101265,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,265.581016942,94.99,0.0
102168,260009638,54.0,PRETO,29.0,PANELA MINEIRA,46.0,166.252681548,76.33,1.0
102465,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,324.617188166,62.16,0.0
103329,260023590,26.0,PRETO,29.0,PANELA MINEIRA,45.0,663.333454996,47.99,0.0
104035,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,551.65981641,94.99,0.0
104089,260023590,26.0,PRETO,29.0,PANELA MINEIRA,45.0,427.060612989,47.99,1.0
104221,260009702,46.0,PRETO,30.0,PANELA MINEIRA,41.0,245.92336484900002,64.90666666666667,0.0
104378,260009702,46.0,PRETO,30.0,PANELA MINEIRA,41.0,375.675899354,81.82333333333332,0.0
106402,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,940.042089828,98.74,0.0
106425,260009638,54.0,PRETO,29.0,PANELA MINEIRA,46.0,96.95084624350001,47.99,0.0
106554,260023590,26.0,PRETO,29.0,PANELA MINEIRA,45.0,73.72686659189999,47.99,0.0
106701,260023590,26.0,PRETO,29.0,PANELA MINEIRA,45.0,903.432282501,47.99,0.0
106833,260009702,46.0,PRETO,30.0,PANELA MINEIRA,41.0,284.79996351799997,47.99,0.0
107772,260023590,26.0,PRETO,29.0,PANELA MINEIRA,45.0,525.362041465,47.99,0.0
108133,260009638,54.0,PRETO,29.0,PANELA MINEIRA,46.0,233.035059544,70.995,0.0
108537,260009638,54.0,PRETO,29.0,PANELA MINEIRA,46.0,65.1022600723,54.99,0.0
108607,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,817.657314907,94.99,0.0
109242,260023590,26.0,PRETO,29.0,PANELA MINEIRA,45.0,770.723258483,47.99,0.0
115371,260008826,26.0,PRETO,29.0,FUMIL,45.0,630.9671665469999,59.99,0.0
116264,260006222,46.0,VERMELHO,30.0,PANELA MINEIRA,41.0,411.49507077699997,94.99,0.0
117132,260008826,26.0,PRETO,29.0,FUMIL,45.0,192.022975007,59.99,1.0
117441,260009702,46.0,PRETO,30.0,PANELA MINEIRA,41.0,601.700850729,97.2976923077,0.0
117989,260009638,54.0,PRETO,29.0,PANELA MINEIRA,46.0,605.20989785,98.64384615385,0.0
118899,260009702,46.0,PRETO,30.0,PANELA MINEIRA,41.0,245.415222354,99.99,0.0
119921,260009702,46.0,PRETO,30.0,PANELA MINEIRA,41.0,511.546022084,96.6566666667,0.0
120118,260023590,26.0,PRETO,29.0,PANELA MINEIRA,45.0,784.7630587460001,47.99,0.0
