,ITEM_ID,ALTURA,COMPOSICAO,COR,LARGURA,MARCA,PROFUNDIDADE,ITEM_PRICE,INTERESTED
120337,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,54.99,0.0
120509,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
120719,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,1.0
121061,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
121286,229575102,11.0,INOX,PRATA,9.0,BIALETTI,12.5,55.9,0.0
121566,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,1.0
121701,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
121733,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
121885,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
122164,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
122336,263050084,32.5,ALUMINIO,VERMELHO,38.0,EURO HOME,14.5,44.99,1.0
122376,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
122629,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
122657,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.95882352939999,0.0
123053,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,54.99,0.0
123526,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,49.0,1.0
123608,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
123738,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
124199,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,54.99,0.0
124390,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,54.99,0.0
124454,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,54.99,0.0
124849,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
125391,229575102,11.0,INOX,PRATA,9.0,BIALETTI,12.5,59.7,0.0
125755,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,54.99,0.0
125862,263050084,32.5,ALUMINIO,VERMELHO,38.0,EURO HOME,14.5,44.99,0.0
125932,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
126069,263050084,32.5,ALUMINIO,VERMELHO,38.0,EURO HOME,14.5,44.99,0.0
126070,229575102,11.0,INOX,PRATA,9.0,BIALETTI,12.5,59.7,0.0
126175,229575102,11.0,INOX,PRATA,9.0,BIALETTI,12.5,59.7,0.0
126288,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
126296,229575102,11.0,INOX,PRATA,9.0,BIALETTI,12.5,59.7,0.0
126487,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
126490,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,54.99,0.0
126515,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
126751,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
127684,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,39.99,0.0
128411,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,56.20769230770001,0.0
129945,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,54.99,0.0
130284,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
130468,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,39.99,0.0
130632,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
130914,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,1.0
130993,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
131178,229575102,11.0,INOX,PRATA,9.0,BIALETTI,12.5,55.9,0.0
131649,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
131989,263050084,32.5,ALUMINIO,VERMELHO,38.0,EURO HOME,14.5,44.99,0.0
132493,263050084,32.5,ALUMINIO,VERMELHO,38.0,EURO HOME,14.5,44.99,0.0
132632,229575102,11.0,INOX,PRATA,9.0,BIALETTI,12.5,59.7,0.0
133079,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,1.0
133080,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,56.026984127,0.0
133129,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,51.49,0.0
133144,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,53.695,0.0
133331,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
133777,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
133995,263050084,32.5,ALUMINIO,VERMELHO,38.0,EURO HOME,14.5,44.99,0.0
134196,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,54.99,0.0
134273,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,1.0
134391,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
135119,263050084,32.5,ALUMINIO,VERMELHO,38.0,EURO HOME,14.5,44.99,0.0
135202,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,54.99,0.0
135242,263050810,32.5,ALUMINIO,PRETO,38.0,EURO HOME,14.5,44.99,0.0
135747,263055822,32.0,ALUMINIO,VERMELHO,38.0,EURO HOME,14.5,54.99,1.0
135761,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
135852,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
136034,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
136068,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,54.99,0.0
136845,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,39.99,0.0
137159,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,54.99,0.0
137194,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
137228,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
137413,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
137685,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
138001,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.596666666666664,0.0
138295,263050810,32.5,ALUMINIO,PRETO,38.0,EURO HOME,14.5,55.29333333333334,0.0
139221,263055822,32.0,ALUMINIO,VERMELHO,38.0,EURO HOME,14.5,54.99,0.0
139239,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,54.99,0.0
139287,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,49.0,0.0
139297,229575102,11.0,INOX,PRATA,9.0,BIALETTI,12.5,59.7,0.0
139483,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,52.74375,0.0
139814,263050084,32.5,ALUMINIO,VERMELHO,38.0,EURO HOME,14.5,44.99,0.0
139997,229575102,11.0,INOX,PRATA,9.0,BIALETTI,12.5,59.7,0.0
140343,229575102,11.0,INOX,PRATA,9.0,BIALETTI,12.5,59.7,0.0
141548,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
141721,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
142075,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
142425,229575102,11.0,INOX,PRATA,9.0,BIALETTI,12.5,59.7,0.0
142542,229575102,11.0,INOX,PRATA,9.0,BIALETTI,12.5,59.7,0.0
144252,229575102,11.0,INOX,PRATA,9.0,BIALETTI,12.5,59.7,0.0
144529,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
144868,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,55.9,0.0
145041,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
145073,263055822,32.0,ALUMINIO,VERMELHO,38.0,EURO HOME,14.5,47.99,0.0
145159,263050084,32.5,ALUMINIO,VERMELHO,38.0,EURO HOME,14.5,44.99,0.0
145388,263050084,32.5,ALUMINIO,VERMELHO,38.0,EURO HOME,14.5,48.866875,0.0
145803,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,52.74375,0.0
145876,229575102,11.0,INOX,PRATA,9.0,BIALETTI,12.5,59.7,0.0
145940,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
145979,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
146151,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,52.74375,0.0
146447,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
146596,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,54.99,0.0
146604,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,1.0
146676,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,1.0
146931,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,54.99,0.0
148018,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
148137,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
148247,229575102,11.0,INOX,PRATA,9.0,BIALETTI,12.5,59.7,0.0
148256,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,56.0509433962,0.0
149218,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
149489,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,49.0,0.0
149583,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
149692,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,52.74375,0.0
149855,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
150101,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,49.0,0.0
150327,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9571428571,0.0
150538,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,39.99,0.0
151400,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
151689,263050084,32.5,ALUMINIO,VERMELHO,38.0,EURO HOME,14.5,44.99,0.0
152266,263055822,32.0,ALUMINIO,VERMELHO,38.0,EURO HOME,14.5,47.99,1.0
152563,263050084,32.5,ALUMINIO,VERMELHO,38.0,EURO HOME,14.5,44.99,0.0
152806,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,39.99,0.0
152963,229575102,11.0,INOX,PRATA,9.0,BIALETTI,12.5,59.99,0.0
153006,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
153112,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,57.9,0.0
153642,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
154444,263050084,32.5,ALUMINIO,VERMELHO,38.0,EURO HOME,14.5,44.99,0.0
154556,263050084,32.5,ALUMINIO,VERMELHO,38.0,EURO HOME,14.5,44.99,0.0
154629,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
154752,229575102,11.0,INOX,PRATA,9.0,BIALETTI,12.5,55.9,0.0
155158,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
155499,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
155941,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
155965,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,52.74375,0.0
155996,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
156112,229575102,11.0,INOX,PRATA,9.0,BIALETTI,12.5,59.7,0.0
156233,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,52.74375,0.0
156283,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,48.866875,0.0
156754,263050084,32.5,ALUMINIO,VERMELHO,38.0,EURO HOME,14.5,44.99,0.0
157384,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,54.99,0.0
157832,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
157988,229575102,11.0,INOX,PRATA,9.0,BIALETTI,12.5,59.7,0.0
158125,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,39.99,0.0
158148,263050810,32.5,ALUMINIO,PRETO,38.0,EURO HOME,14.5,44.99,1.0
158304,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
158330,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
158352,263055822,32.0,ALUMINIO,VERMELHO,38.0,EURO HOME,14.5,54.99,0.0
158593,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
159099,229575102,11.0,INOX,PRATA,9.0,BIALETTI,12.5,59.7,0.0
159236,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,52.593999999999994,0.0
160351,263050084,32.5,ALUMINIO,VERMELHO,38.0,EURO HOME,14.5,44.99,1.0
160360,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,49.99,0.0
161062,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,54.99,0.0
161387,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
161903,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
162142,263050084,32.5,ALUMINIO,VERMELHO,38.0,EURO HOME,14.5,44.99,0.0
162220,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
162357,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
162518,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
162833,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
163256,263050810,32.5,ALUMINIO,PRETO,38.0,EURO HOME,14.5,44.99,1.0
163402,229575102,11.0,INOX,PRATA,9.0,BIALETTI,12.5,59.7,0.0
163623,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
163698,229575102,11.0,INOX,PRATA,9.0,BIALETTI,12.5,59.7,0.0
163700,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
163776,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
164007,263050084,32.5,ALUMINIO,VERMELHO,38.0,EURO HOME,14.5,44.99,0.0
164385,229575102,11.0,INOX,PRATA,9.0,BIALETTI,12.5,59.7,0.0
164594,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
165456,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
165571,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
165615,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
165857,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,54.99,0.0
166033,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
166424,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
167310,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,39.99,0.0
167380,263050084,32.5,ALUMINIO,VERMELHO,38.0,EURO HOME,14.5,47.49,0.0
167411,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,54.99,0.0
167681,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,52.74375,0.0
167714,263050084,32.5,ALUMINIO,VERMELHO,38.0,EURO HOME,14.5,44.99,0.0
167733,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
167933,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
167969,263050810,32.5,ALUMINIO,PRETO,38.0,EURO HOME,14.5,44.99,0.0
168212,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
168376,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,39.99,0.0
169510,229575102,11.0,INOX,PRATA,9.0,BIALETTI,12.5,59.7,0.0
169658,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
170803,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
171460,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,1.0
171845,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
171853,229575102,11.0,INOX,PRATA,9.0,BIALETTI,12.5,59.7,0.0
173079,263050810,32.5,ALUMINIO,PRETO,38.0,EURO HOME,14.5,44.99,0.0
173110,229575102,11.0,INOX,PRATA,9.0,BIALETTI,12.5,59.7,1.0
173327,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,1.0
173335,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,52.74375,0.0
173389,229575102,11.0,INOX,PRATA,9.0,BIALETTI,12.5,59.7,0.0
173522,229575102,11.0,INOX,PRATA,9.0,BIALETTI,12.5,59.7,0.0
173629,229575102,11.0,INOX,PRATA,9.0,BIALETTI,12.5,59.7,0.0
173757,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
173812,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,1.0
173883,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
174032,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
174179,263050810,32.5,ALUMINIO,PRETO,38.0,EURO HOME,14.5,44.99,0.0
174196,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
174616,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
175406,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
175431,263055822,32.0,ALUMINIO,VERMELHO,38.0,EURO HOME,14.5,47.99,0.0
175724,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,51.945,0.0
175922,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
175942,229575102,11.0,INOX,PRATA,9.0,BIALETTI,12.5,59.7,0.0
176103,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
176542,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,52.74375,0.0
176567,229575102,11.0,INOX,PRATA,9.0,BIALETTI,12.5,59.7,0.0
177226,263055502,32.0,ALUMINIO,LARANJA,38.0,EURO HOME,14.5,54.99,0.0
177373,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,60.9666666667,0.0
177569,263050810,32.5,ALUMINIO,PRETO,38.0,EURO HOME,14.5,44.99,0.0
177765,263050810,32.5,ALUMINIO,PRETO,38.0,EURO HOME,14.5,44.99,1.0
177879,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
177913,263050810,32.5,ALUMINIO,PRETO,38.0,EURO HOME,14.5,57.8,0.0
178145,229575102,11.0,INOX,PRATA,9.0,BIALETTI,12.5,59.7,0.0
178449,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
179326,263050084,32.5,ALUMINIO,VERMELHO,38.0,EURO HOME,14.5,44.99,1.0
179987,241439984,30.5,INOX,INOX,26.0,EURO HOME,18.0,55.9,0.0
