,ITEM_ID,ALTURA,COR,FORMATO,LARGURA,PROFUNDIDADE,SESSION_ID,ITEM_PRICE,INTERESTED
120533,256332682,10.0,1,1,4.5,10.1,328.36978079799997,144.99,0.0
120802,257077622,6.7,1,2,10.4,15.2,516.582601596,99.99,0.0
120893,257077622,6.7,1,2,10.4,15.2,911.97764351,110.578235294,0.0
120909,256332682,10.0,1,1,4.5,10.1,951.445494407,124.99,0.0
120924,257077622,6.7,1,2,10.4,15.2,486.25910038300003,119.99,0.0
120947,257077622,6.7,1,2,10.4,15.2,327.834222445,119.99,0.0
121149,257077622,6.7,1,2,10.4,15.2,126.983536999,119.99,0.0
121884,257077622,6.7,1,2,10.4,15.2,515.0039312380001,119.99,0.0
121957,257104308,8.0,2,3,15.2,19.8,97.23576450559999,119.99,0.0
122905,257077622,6.7,1,2,10.4,15.2,687.436525545,119.99,0.0
123864,256329340,10.0,2,1,4.5,10.1,885.2453530360001,119.99,0.0
124406,257077622,6.7,1,2,10.4,15.2,579.9409391309999,119.99,0.0
124899,257077622,6.7,1,2,10.4,15.2,436.64778616300003,119.99,0.0
124991,257077622,6.7,1,2,10.4,15.2,16.8983906266,119.99,0.0
125977,256329392,10.0,1,3,10.0,4.5,111.56373666200001,119.99,0.0
126835,257077622,6.7,1,2,10.4,15.2,189.077577768,119.99,0.0
127000,257077622,6.7,1,2,10.4,15.2,914.6531804010001,119.99,0.0
127059,257073782,8.5,2,1,15.6,17.0,467.348535821,172.49,0.0
127449,257073782,8.5,2,1,15.6,17.0,35.592103643200005,224.99,1.0
127725,257077622,6.7,1,2,10.4,15.2,467.824972296,172.49,0.0
128050,257077622,6.7,1,2,10.4,15.2,378.34344295,119.99,0.0
128056,257077622,6.7,1,2,10.4,15.2,371.267355016,119.99,0.0
128224,257077622,6.7,1,2,10.4,15.2,530.058776994,119.99,0.0
128270,257104148,8.3,1,1,15.6,17.0,378.86846808,224.99,0.0
129737,256329340,10.0,2,1,4.5,10.1,132.22756887399999,144.99,0.0
129844,257104148,8.3,1,1,15.6,17.0,122.430990585,224.99,0.0
130225,257077622,6.7,1,2,10.4,15.2,436.020751491,119.99,0.0
131673,257077622,6.7,1,2,10.4,15.2,483.438831309,119.99,0.0
131983,257073782,8.5,2,1,15.6,17.0,400.494477893,224.99,0.0
132781,257077622,6.7,1,2,10.4,15.2,782.604590767,119.99,0.0
132843,257077622,6.7,1,2,10.4,15.2,201.142993872,119.99,0.0
132856,257077622,6.7,1,2,10.4,15.2,307.298209633,119.99,0.0
133720,257104148,8.3,1,1,15.6,17.0,400.92989355699996,224.99,0.0
134051,256332682,10.0,1,1,4.5,10.1,470.69004412699996,172.49,0.0
134350,257077622,6.7,1,2,10.4,15.2,845.6667283439999,119.99,0.0
134389,257077622,6.7,1,2,10.4,15.2,49.816779896599996,119.99,0.0
134578,257077622,6.7,1,2,10.4,15.2,205.9464144818,119.99,0.0
135286,256332682,10.0,1,1,4.5,10.1,362.076049067,119.99,0.0
135299,257077622,6.7,1,2,10.4,15.2,839.187013787,119.99,0.0
135363,257104148,8.3,1,1,15.6,17.0,148.222762386,119.99,0.0
135585,257077622,6.7,1,2,10.4,15.2,594.1199492640001,119.99,0.0
135792,257077622,6.7,1,2,10.4,15.2,277.36995940099996,119.99,0.0
137842,256332682,10.0,1,1,4.5,10.1,999.6951448089999,119.99,0.0
138181,257077622,6.7,1,2,10.4,15.2,692.0418405519998,119.99,0.0
139039,256332682,10.0,1,1,4.5,10.1,2.39928705299,144.99,0.0
139249,257077622,6.7,1,2,10.4,15.2,170.389448439995,119.99,0.0
140764,257077622,6.7,1,2,10.4,15.2,338.379609827,119.99,0.0
141023,257077622,6.7,1,2,10.4,15.2,634.222632964,119.99,0.0
142671,257073782,8.5,2,1,15.6,17.0,620.632583596,224.99,0.0
145542,257077622,6.7,1,2,10.4,15.2,988.5901434389999,99.99,0.0
146063,257077622,6.7,1,2,10.4,15.2,357.149779344,119.99,0.0
146568,257104148,8.3,1,1,15.6,17.0,843.516835059,119.99,0.0
147382,257077622,6.7,1,2,10.4,15.2,895.9294440089999,119.99,0.0
147769,257077622,6.7,1,2,10.4,15.2,472.41061531800005,119.99,0.0
147850,257104148,8.3,1,1,15.6,17.0,254.169981308,224.99,0.0
147952,257077622,6.7,1,2,10.4,15.2,614.08725532,119.99,0.0
148711,257077622,6.7,1,2,10.4,15.2,111.891075164,116.85274509799999,0.0
149123,257104148,8.3,1,1,15.6,17.0,619.07906877,113.715490196,0.0
149443,257077622,6.7,1,2,10.4,15.2,110.357683939,110.578235294,0.0
149916,257073782,8.5,2,1,15.6,17.0,574.079945298,167.78411764700002,0.0
150130,257073782,8.5,2,1,15.6,17.0,331.15659483900004,224.99,0.0
150588,257077622,6.7,1,2,10.4,15.2,674.340814706,119.99,0.0
150791,257104148,8.3,1,1,15.6,17.0,506.193095562,224.99,0.0
151025,256332682,10.0,1,1,4.5,10.1,614.08725532,144.99,0.0
151698,257077622,6.7,1,2,10.4,15.2,805.0364552,119.99,0.0
153676,257077622,6.7,1,2,10.4,15.2,697.363197625,119.99,0.0
153750,257077622,6.7,1,2,10.4,15.2,876.68589585,119.99,0.0
154717,257104148,8.3,1,1,15.6,17.0,782.365969163,224.99,0.0
154949,257077622,6.7,1,2,10.4,15.2,936.7166446389999,119.99,0.0
155173,257104148,8.3,1,1,15.6,17.0,100.094661245,224.99,0.0
155214,257077622,6.7,1,2,10.4,15.2,480.19220659900003,119.99,0.0
155270,256332682,10.0,1,1,4.5,10.1,346.5670934640001,119.99,0.0
155519,257077622,6.7,1,2,10.4,15.2,915.374678004,119.99,0.0
156441,257077622,6.7,1,2,10.4,15.2,906.7949718589999,119.99,0.0
156891,257073782,8.5,2,1,15.6,17.0,594.1158576390001,119.99,0.0
157127,257077622,6.7,1,2,10.4,15.2,914.5169809810001,119.99,0.0
157467,257073782,8.5,2,1,15.6,17.0,888.393244116,119.99,0.0
158351,257073782,8.5,2,1,15.6,17.0,315.748266882,119.99,0.0
158618,257077622,6.7,1,2,10.4,15.2,65.34055856350001,119.99,0.0
159940,257073782,8.5,2,1,15.6,17.0,617.113281325,224.99,0.0
160035,257077622,6.7,1,2,10.4,15.2,223.50275831,119.99,0.0
160046,257077622,6.7,1,2,10.4,15.2,348.4342864040001,119.99,0.0
162160,257077622,6.7,1,2,10.4,15.2,697.8421186319998,119.99,0.0
162641,257077622,6.7,1,2,10.4,15.2,638.245387191,119.99,0.0
162821,257077622,6.7,1,2,10.4,15.2,305.80819188099997,119.99,0.0
163744,257104148,8.3,1,1,15.6,17.0,298.184499136,224.99,0.0
164242,256329340,10.0,2,1,4.5,10.1,617.113281325,144.99,0.0
164639,257073782,8.5,2,1,15.6,17.0,992.3645778560001,132.49,0.0
165095,257077622,6.7,1,2,10.4,15.2,695.6703558930002,119.99,0.0
165445,256329340,10.0,2,1,4.5,10.1,634.014108421,119.99,0.0
166268,257077622,6.7,1,2,10.4,15.2,685.075564024,119.99,0.0
166698,257077622,6.7,1,2,10.4,15.2,772.831216447,119.99,0.0
167321,257077622,6.7,1,2,10.4,15.2,24.3315805746,119.99,0.0
168415,257073782,8.5,2,1,15.6,17.0,663.048412739,224.99,0.0
168775,257073782,8.5,2,1,15.6,17.0,880.277240949,224.99,0.0
169155,256332682,10.0,1,1,4.5,10.1,472.358197979,224.99,0.0
169531,257104148,8.3,1,1,15.6,17.0,515.967709241,224.99,0.0
169873,256332682,10.0,1,1,4.5,10.1,232.416147187,172.49,0.0
170272,257077622,6.7,1,2,10.4,15.2,494.496263345,119.99,0.0
171165,256332682,10.0,1,1,4.5,10.1,379.075257965,119.99,0.0
171388,257077622,6.7,1,2,10.4,15.2,724.047745147,119.99,0.0
171674,257077622,6.7,1,2,10.4,15.2,447.454940839,119.99,0.0
172588,256332682,10.0,1,1,4.5,10.1,984.065787415,119.99,0.0
173000,257073782,8.5,2,1,15.6,17.0,147.55751102899998,119.99,0.0
173398,257104148,8.3,1,1,15.6,17.0,788.594696649,119.99,0.0
173644,257077622,6.7,1,2,10.4,15.2,775.653900633,119.99,0.0
173761,257077622,6.7,1,2,10.4,15.2,387.42334296,119.99,0.0
174337,257073782,8.5,2,1,15.6,17.0,592.738931857,119.99,0.0
174522,257077622,6.7,1,2,10.4,15.2,979.93268624,119.99,0.0
174606,257077622,6.7,1,2,10.4,15.2,988.1989967710001,119.99,0.0
174762,257077622,6.7,1,2,10.4,15.2,259.327727722,119.99,0.0
176352,257077622,6.7,1,2,10.4,15.2,300.363063362,110.578235294,0.0
176643,257104148,8.3,1,1,15.6,17.0,260.229350893,115.284117647,0.0
176974,257077622,6.7,1,2,10.4,15.2,284.695244813,119.99,0.0
177295,257077622,6.7,1,2,10.4,15.2,620.3435305219999,119.99,0.0
177596,257073782,8.5,2,1,15.6,17.0,841.46914699,119.99,0.0
178677,257077622,6.7,1,2,10.4,15.2,422.82787063300003,119.99,0.0
178798,257077622,6.7,1,2,10.4,15.2,291.216190964,119.99,0.0
179030,257077622,6.7,1,2,10.4,15.2,524.480894708,119.99,0.0
179560,257077622,6.7,1,2,10.4,15.2,936.251065188,119.99,0.0
