,ITEM_ID,ALTURA,COMPOSICAO,LARGURA,MARCA,PROFUNDIDADE,TEM_TAMPA,SESSION_ID,ITEM_PRICE,INTERESTED
120499,13863720,10.0,1,46.0,1,56.0,0.0,737.15312602,324.99,0.0
120565,13863720,10.0,1,46.0,1,56.0,0.0,267.1398788,343.655,0.0
120636,13863724,10.0,1,61.0,1,72.0,0.0,770.011279985,362.32,1.0
120967,13863720,10.0,1,46.0,1,56.0,0.0,664.175535983,235.61,0.0
121298,240741942,13.0,1,37.5,2,47.5,1.0,130.21094099200002,108.9,0.0
121787,13863720,10.0,1,46.0,1,56.0,0.0,610.870757153,266.79,0.0
121916,13863720,10.0,1,46.0,1,56.0,0.0,953.564782431,269.9,0.0
122168,241717562,10.0,2,42.0,3,43.0,0.0,981.395824521,199.9,0.0
122176,240741908,13.0,1,37.5,2,64.5,1.0,545.165697624,129.9,0.0
122278,13863720,10.0,1,46.0,1,56.0,0.0,936.513444727,266.79,0.0
122667,240741942,13.0,1,37.5,2,47.5,1.0,801.38126204,108.9,0.0
122841,13863720,10.0,1,46.0,1,56.0,0.0,229.98207629700002,108.9,0.0
122982,240741942,13.0,1,37.5,2,47.5,1.0,463.60940621699996,108.9,0.0
123171,240741942,13.0,1,37.5,2,47.5,1.0,3.09710083741,108.9,0.0
123206,240741908,13.0,1,37.5,2,64.5,1.0,474.804958349,129.9,0.0
123215,240741942,13.0,1,37.5,2,47.5,1.0,527.662165208,108.9,0.0
123680,240741908,13.0,1,37.5,2,64.5,1.0,855.423737065,193.3733333333333,0.0
123743,258468946,6.0,1,34.0,4,43.0,0.0,67.258695975,277.8466666666667,0.0
123881,13863724,10.0,1,61.0,1,72.0,0.0,29.417486105100004,362.32,0.0
124389,240741942,13.0,1,37.5,2,47.5,1.0,358.636217284,277.8466666666667,0.0
124391,257249402,6.0,1,34.0,4,43.0,0.0,79.8831358832,193.3733333333333,0.0
124489,240741942,13.0,1,37.5,2,47.5,1.0,17.035980283900006,108.9,0.0
124628,240741908,13.0,1,37.5,2,64.5,1.0,474.21598430000006,104.4,0.0
124709,11898110,6.0,1,31.0,1,37.0,0.0,199.983484847,99.9,0.0
125000,240741942,13.0,1,37.5,2,47.5,1.0,217.05053612900002,102.669230769,0.0
125173,241717562,10.0,2,42.0,3,43.0,0.0,647.9489362319999,184.7296153845,0.0
125457,13863720,10.0,1,46.0,1,56.0,0.0,582.2828226969999,266.79,0.0
125516,13863724,10.0,1,61.0,1,72.0,0.0,46.195940897700005,267.17875000000004,0.0
125628,13863720,10.0,1,46.0,1,56.0,0.0,697.715453723,267.5675,0.0
126022,13863720,10.0,1,46.0,1,56.0,0.0,120.269815619,266.79,0.0
126100,241717562,10.0,2,42.0,3,43.0,0.0,733.2610092210001,59.99,0.0
126261,241717562,10.0,2,42.0,3,43.0,0.0,456.22257928,76.29333333333334,0.0
126597,241717562,10.0,2,42.0,3,43.0,0.0,706.2485192089999,92.59666666666666,0.0
126605,240741942,13.0,1,37.5,2,47.5,1.0,961.7135459130001,108.9,0.0
126720,241717562,10.0,2,42.0,3,43.0,0.0,133.552674601,108.9,0.0
126905,13863724,10.0,1,61.0,1,72.0,0.0,705.0407776530002,108.9,0.0
127078,240741942,13.0,1,37.5,2,47.5,1.0,918.728692832,108.9,0.0
127243,240741942,13.0,1,37.5,2,47.5,1.0,47.1120769747,108.9,0.0
127330,240741942,13.0,1,37.5,2,47.5,1.0,843.0018115989999,108.9,0.0
127641,13863724,10.0,1,61.0,1,72.0,0.0,984.9411990760001,422.9,0.0
127971,240741908,13.0,1,37.5,2,64.5,1.0,380.51401104800004,265.9,0.0
128018,240741942,13.0,1,37.5,2,47.5,1.0,472.446972982,108.9,0.0
128237,13863720,10.0,1,46.0,1,56.0,0.0,635.51185385,119.4,0.0
128289,240741908,13.0,1,37.5,2,64.5,1.0,144.086699431,129.9,0.0
129267,13863724,10.0,1,61.0,1,72.0,0.0,28.107930039899998,474.136363636,0.0
129351,240741942,13.0,1,37.5,2,47.5,1.0,155.877251835,101.9,0.0
129826,13863724,10.0,1,61.0,1,72.0,0.0,189.905065605,422.9,0.0
129925,13863720,10.0,1,46.0,1,56.0,0.0,679.801611909,324.99,0.0
130209,13863724,10.0,1,61.0,1,72.0,0.0,362.25124413199995,362.32,0.0
130498,257249402,6.0,1,34.0,4,43.0,0.0,560.489264265,69.9,0.0
130519,240741942,13.0,1,37.5,2,47.5,1.0,886.84183721,108.9,0.0
130942,13863724,10.0,1,61.0,1,72.0,0.0,422.881335591,187.84500000000003,0.0
131164,13863720,10.0,1,46.0,1,56.0,0.0,308.862349742,266.79,0.0
131326,240741942,13.0,1,37.5,2,47.5,1.0,442.725433553,99.9,0.0
131350,241717562,10.0,2,42.0,3,43.0,0.0,1000.66827494,155.53,0.0
131402,13863724,10.0,1,61.0,1,72.0,0.0,141.09031780799998,211.16000000000003,0.0
131688,13863720,10.0,1,46.0,1,56.0,0.0,82.3078446002,266.79,0.0
131948,13863724,10.0,1,61.0,1,72.0,0.0,975.4291195789999,474.136363636,0.0
131980,11898110,6.0,1,31.0,1,37.0,0.0,922.793905215,448.518181818,0.0
131995,13863724,10.0,1,61.0,1,72.0,0.0,875.8389266360001,422.9,0.0
132214,13863720,10.0,1,46.0,1,56.0,0.0,273.271287246,252.48,0.0
132349,13863724,10.0,1,61.0,1,72.0,0.0,896.336788364,309.28666666666663,0.0
132366,241717562,10.0,2,42.0,3,43.0,0.0,216.867845813,366.0933333333333,0.0
132412,13863724,10.0,1,61.0,1,72.0,0.0,624.9308332969999,422.9,0.0
132416,240741942,13.0,1,37.5,2,47.5,1.0,505.35160787,112.693939394,0.0
132419,240741942,13.0,1,37.5,2,47.5,1.0,729.363542205,108.9,0.0
132455,241717562,10.0,2,42.0,3,43.0,0.0,667.718451045,291.518181818,0.0
132546,13863724,10.0,1,61.0,1,72.0,0.0,183.35433479099999,474.136363636,0.0
132628,240741942,13.0,1,37.5,2,47.5,1.0,108.11094133600001,99.9,0.0
132684,240741908,13.0,1,37.5,2,64.5,1.0,517.30225923,119.9,1.0
133010,240741942,13.0,1,37.5,2,47.5,1.0,449.10016065599996,102.471428571,0.0
133362,240741942,13.0,1,37.5,2,47.5,1.0,109.747298736,108.9,0.0
133375,241717562,10.0,2,42.0,3,43.0,0.0,30.4890000023,187.84500000000003,0.0
133456,13863720,10.0,1,46.0,1,56.0,0.0,494.81835052199995,266.79,0.0
133615,13863720,10.0,1,46.0,1,56.0,0.0,539.688549152,266.79,0.0
133645,13863724,10.0,1,61.0,1,72.0,0.0,914.1794200410001,401.488235294,0.0
133682,13863724,10.0,1,61.0,1,72.0,0.0,134.631599771,398.9,0.0
133937,13863720,10.0,1,46.0,1,56.0,0.0,777.491339682,268.593333333,0.0
134144,240741942,13.0,1,37.5,2,47.5,1.0,572.883877487,99.9,1.0
134860,240741942,13.0,1,37.5,2,47.5,1.0,842.254511148,78.4,0.0
135020,11898110,6.0,1,31.0,1,37.0,0.0,345.110388076,56.9,0.0
135101,11898110,6.0,1,31.0,1,37.0,0.0,993.513525492,82.9,0.0
135156,240741942,13.0,1,37.5,2,47.5,1.0,68.2026927118,108.9,0.0
135433,13863724,10.0,1,61.0,1,72.0,0.0,243.98867612200002,474.136363636,0.0
135480,241717562,10.0,2,42.0,3,43.0,0.0,632.378776776,287.018181818,0.0
135492,240741942,13.0,1,37.5,2,47.5,1.0,857.034961981,99.9,0.0
135630,13863720,10.0,1,46.0,1,56.0,0.0,995.874210723,252.48,0.0
136161,240741942,13.0,1,37.5,2,47.5,1.0,532.235066577,108.9,0.0
136263,241717562,10.0,2,42.0,3,43.0,0.0,365.38259484300005,180.69,0.0
136959,13863720,10.0,1,46.0,1,56.0,0.0,110.843470133,252.48,0.0
137521,13863720,10.0,1,46.0,1,56.0,0.0,72.5972857111,259.635,0.0
137590,13863720,10.0,1,46.0,1,56.0,0.0,415.91768898855,266.79,0.0
137705,240741908,13.0,1,37.5,2,64.5,1.0,759.2380922660001,129.9,0.0
138126,240741942,13.0,1,37.5,2,47.5,1.0,21.5635318027,108.9,0.0
138384,11898110,6.0,1,31.0,1,37.0,0.0,498.49632569085,56.9,0.0
138600,13863724,10.0,1,61.0,1,72.0,0.0,975.4291195789999,474.136363636,0.0
138692,13863720,10.0,1,46.0,1,56.0,0.0,665.905500416,324.99,0.0
139146,13863720,10.0,1,46.0,1,56.0,0.0,88.171772501,324.99,0.0
139743,11898110,6.0,1,31.0,1,37.0,0.0,39.2518308403,97.5,0.0
139987,13863724,10.0,1,61.0,1,72.0,0.0,430.23497205900003,474.136363636,0.0
140096,13863724,10.0,1,61.0,1,72.0,0.0,723.5750147819998,474.136363636,0.0
140308,13863724,10.0,1,61.0,1,72.0,0.0,150.74020773200002,363.30818181800004,0.0
140416,13863720,10.0,1,46.0,1,56.0,0.0,843.939004127,252.48,0.0
140702,13863720,10.0,1,46.0,1,56.0,0.0,9.89873187339,252.48,1.0
140859,240741942,13.0,1,37.5,2,47.5,1.0,290.37073873,108.9,1.0
141135,13863720,10.0,1,46.0,1,56.0,0.0,562.863453202,180.93,0.0
141209,240741908,13.0,1,37.5,2,64.5,1.0,429.12229130099996,252.96,0.0
141263,13863720,10.0,1,46.0,1,56.0,0.0,698.9538424010001,324.99,0.0
141882,13863724,10.0,1,61.0,1,72.0,0.0,497.544053646,474.136363636,0.0
142028,13863724,10.0,1,61.0,1,72.0,0.0,573.656521149,297.018181818,0.0
142171,240741908,13.0,1,37.5,2,64.5,1.0,347.234052093,119.9,0.0
142370,240741942,13.0,1,37.5,2,47.5,1.0,977.1620800489999,99.9,1.0
142401,240741942,13.0,1,37.5,2,47.5,1.0,542.312041349,102.471428571,0.0
142705,13863720,10.0,1,46.0,1,56.0,0.0,676.058329921,324.99,0.0
142761,13863720,10.0,1,46.0,1,56.0,0.0,590.726127097,252.96,0.0
142767,11898110,6.0,1,31.0,1,37.0,0.0,878.7527939610001,180.93,0.0
142830,240741942,13.0,1,37.5,2,47.5,1.0,516.597936453,108.9,0.0
142952,240741942,13.0,1,37.5,2,47.5,1.0,555.644561945,108.9,0.0
143121,240741942,13.0,1,37.5,2,47.5,1.0,850.308259805,99.9,0.0
143171,257249402,6.0,1,34.0,4,43.0,0.0,76.67775088350001,225.18375,0.0
143288,13863724,10.0,1,61.0,1,72.0,0.0,42.8944903792,350.4675,0.0
143461,240741942,13.0,1,37.5,2,47.5,1.0,401.90433911900004,108.9,0.0
143482,13863724,10.0,1,61.0,1,72.0,0.0,748.795821945,108.9,0.0
143550,13863724,10.0,1,61.0,1,72.0,0.0,352.78479838,108.9,0.0
143902,240741942,13.0,1,37.5,2,47.5,1.0,988.827567697,108.9,0.0
143922,240741942,13.0,1,37.5,2,47.5,1.0,751.898158373,108.9,0.0
143948,13863724,10.0,1,61.0,1,72.0,0.0,560.211156253,422.9,0.0
144112,13863720,10.0,1,46.0,1,56.0,0.0,144.086699431,266.79,0.0
144272,240741942,13.0,1,37.5,2,47.5,1.0,957.755408507,108.9,0.0
144632,13863724,10.0,1,61.0,1,72.0,0.0,683.880157771,422.9,0.0
144762,11898110,6.0,1,31.0,1,37.0,0.0,490.82003750300004,56.9,0.0
144986,241717562,10.0,2,42.0,3,43.0,0.0,104.816028602,82.9,0.0
145142,240741942,13.0,1,37.5,2,47.5,1.0,768.630080591,108.9,0.0
145227,240741942,13.0,1,37.5,2,47.5,1.0,199.09185857,101.9,0.0
145792,13863724,10.0,1,61.0,1,72.0,0.0,782.22226604,474.136363636,0.0
145830,13863720,10.0,1,46.0,1,56.0,0.0,24.2749213055,266.79,0.0
145832,240741942,13.0,1,37.5,2,47.5,1.0,882.761233699,108.9,0.0
145846,13863724,10.0,1,61.0,1,72.0,0.0,158.211408204,200.01083333325002,0.0
146016,241717562,10.0,2,42.0,3,43.0,0.0,803.324279189,291.1216666665,0.0
146241,241717562,10.0,2,42.0,3,43.0,0.0,879.455144627,382.23249999975013,0.0
146455,13863724,10.0,1,61.0,1,72.0,0.0,566.842839122,473.34333333300003,0.0
146495,240741908,13.0,1,37.5,2,64.5,1.0,645.605952151,291.1216666665,0.0
147456,240741942,13.0,1,37.5,2,47.5,1.0,226.716544588,108.9,0.0
148251,13863724,10.0,1,61.0,1,72.0,0.0,273.284000467,101.51,0.0
148437,11898110,6.0,1,31.0,1,37.0,0.0,563.579753404,94.12,0.0
149239,13863720,10.0,1,46.0,1,56.0,0.0,299.030257792,266.79,0.0
149520,240741942,13.0,1,37.5,2,47.5,1.0,775.514350177,108.9,0.0
149930,241717562,10.0,2,42.0,3,43.0,0.0,227.50742929400002,265.9,0.0
150306,13863724,10.0,1,61.0,1,72.0,0.0,894.8177701330002,422.9,0.0
150363,240741942,13.0,1,37.5,2,47.5,1.0,839.860957015,102.669230769,0.0
150419,13863724,10.0,1,61.0,1,72.0,0.0,560.8431518680001,473.34333333300003,0.0
150789,13863724,10.0,1,61.0,1,72.0,0.0,36.4624336984,474.136363636,0.0
150887,13863720,10.0,1,46.0,1,56.0,0.0,182.163899548,324.99,0.0
151124,13863720,10.0,1,46.0,1,56.0,0.0,752.240587109,295.89,0.0
151525,13863720,10.0,1,46.0,1,56.0,0.0,984.039040884,266.79,0.0
152642,240741908,13.0,1,37.5,2,64.5,1.0,656.830026568,129.9,0.0
152843,13863724,10.0,1,61.0,1,72.0,0.0,125.946762007,227.445,0.0
152884,13863720,10.0,1,46.0,1,56.0,0.0,949.510856359,324.99,0.0
153355,11898110,6.0,1,31.0,1,37.0,0.0,704.6453290530002,270.96750000000003,0.0
153380,13863724,10.0,1,61.0,1,72.0,0.0,254.855003199,216.945,0.0
153433,241717562,10.0,2,42.0,3,43.0,0.0,154.373116382,162.9225,0.0
153528,240741942,13.0,1,37.5,2,47.5,1.0,906.0703376710001,108.9,0.0
153608,13863724,10.0,1,61.0,1,72.0,0.0,403.31500364699997,216.945,0.0
153892,13863720,10.0,1,46.0,1,56.0,0.0,853.624631319,324.99,0.0
153933,240741942,13.0,1,37.5,2,47.5,1.0,582.9929060530001,108.9,0.0
155031,240741942,13.0,1,37.5,2,47.5,1.0,186.133408323,101.025,0.0
155159,258468828,6.0,1,34.0,4,43.0,0.0,739.739902642,161.8225,0.0
155237,13863720,10.0,1,46.0,1,56.0,0.0,519.273567358,222.62,0.0
155249,240741942,13.0,1,37.5,2,47.5,1.0,978.7366925839999,108.9,0.0
155302,258468946,6.0,1,34.0,4,43.0,0.0,924.653385502,200.20909090900003,0.0
155494,258468946,6.0,1,34.0,4,43.0,0.0,496.418970845,291.518181818,0.0
155586,13863720,10.0,1,46.0,1,56.0,0.0,912.5121467360001,382.82727272699987,0.0
156269,13863724,10.0,1,61.0,1,72.0,0.0,345.42901960000006,474.136363636,0.0
156342,13863720,10.0,1,46.0,1,56.0,0.0,79.3039813343,252.48,0.0
156591,13863720,10.0,1,46.0,1,56.0,0.0,382.64061835,324.99,0.0
156670,11898110,6.0,1,31.0,1,37.0,0.0,402.38784127099996,213.0075,0.0
156822,240741942,13.0,1,37.5,2,47.5,1.0,145.552130564,101.025,0.0
156835,13863720,10.0,1,46.0,1,56.0,0.0,681.649121771,100.4625,0.0
156839,240741942,13.0,1,37.5,2,47.5,1.0,455.181832445,99.9,1.0
157017,13863724,10.0,1,61.0,1,72.0,0.0,711.8905701069998,362.32,0.0
157109,13863724,10.0,1,61.0,1,72.0,0.0,15.964497064000001,231.11,0.0
158078,240741942,13.0,1,37.5,2,47.5,1.0,487.832694791,99.9,1.0
158220,240741908,13.0,1,37.5,2,64.5,1.0,317.943007477,156.131111111,0.0
158314,13863720,10.0,1,46.0,1,56.0,0.0,535.82635494,212.362222222,0.0
158510,13863720,10.0,1,46.0,1,56.0,0.0,92.9175133999,268.593333333,0.0
158626,13863720,10.0,1,46.0,1,56.0,0.0,516.1044717369999,268.593333333,0.0
158693,13863720,10.0,1,46.0,1,56.0,0.0,714.59602967,324.99,0.0
158741,257249402,6.0,1,34.0,4,43.0,0.0,733.2610092210001,69.9,0.0
158764,240741942,13.0,1,37.5,2,47.5,1.0,170.363132274,99.9,0.0
158778,13863724,10.0,1,61.0,1,72.0,0.0,766.358942768,474.136363636,0.0
158865,240741942,13.0,1,37.5,2,47.5,1.0,566.402048931,102.669230769,0.0
158882,240741942,13.0,1,37.5,2,47.5,1.0,444.07558599199996,102.669230769,0.0
159005,240741942,13.0,1,37.5,2,47.5,1.0,741.930684627,99.9,0.0
159473,240741942,13.0,1,37.5,2,47.5,1.0,740.137272179,104.4,0.0
159668,240741942,13.0,1,37.5,2,47.5,1.0,40.6481549042,108.9,0.0
160276,13863724,10.0,1,61.0,1,72.0,0.0,549.511750962,473.34333333300003,1.0
160809,258468946,6.0,1,34.0,4,43.0,0.0,780.098280587,83.83,0.0
160842,240741942,13.0,1,37.5,2,47.5,1.0,403.450313495,108.9,0.0
160889,258468946,6.0,1,34.0,4,43.0,0.0,111.756185253,187.84500000000003,0.0
161623,13863720,10.0,1,46.0,1,56.0,0.0,278.075128967,266.79,0.0
162031,240741908,13.0,1,37.5,2,64.5,1.0,43.8635493599,187.84500000000003,0.0
162038,240741942,13.0,1,37.5,2,47.5,1.0,238.44489576400002,108.9,0.0
162318,13863720,10.0,1,46.0,1,56.0,0.0,246.502456794,269.9,0.0
162415,13863724,10.0,1,61.0,1,72.0,0.0,411.29285545,474.136363636,0.0
162568,13863720,10.0,1,46.0,1,56.0,0.0,744.5660191119998,266.79,0.0
162914,13863724,10.0,1,61.0,1,72.0,0.0,875.9233085669998,422.9,0.0
163283,240741942,13.0,1,37.5,2,47.5,1.0,633.7872271130001,108.9,0.0
163326,13863724,10.0,1,61.0,1,72.0,0.0,833.357784975,422.9,0.0
163425,11898110,6.0,1,31.0,1,37.0,0.0,892.872146439,260.2,0.0
163599,11898110,6.0,1,31.0,1,37.0,0.0,699.986349605,97.5,0.0
163790,240741942,13.0,1,37.5,2,47.5,1.0,239.630750813,108.9,0.0
164272,13863720,10.0,1,46.0,1,56.0,0.0,21.551127364099997,266.79,0.0
164287,258468828,6.0,1,34.0,4,43.0,0.0,743.1767922739999,214.16000000000003,0.0
164293,240741942,13.0,1,37.5,2,47.5,1.0,282.808140609,161.53000000000003,0.0
164550,240741942,13.0,1,37.5,2,47.5,1.0,992.907276213,108.9,1.0
164683,240741942,13.0,1,37.5,2,47.5,1.0,790.8740718239999,99.9,0.0
164977,11898110,6.0,1,31.0,1,37.0,0.0,4.60676707712,247.4,0.0
165344,13863724,10.0,1,61.0,1,72.0,0.0,49.568977822959994,394.9,0.0
165686,240741942,13.0,1,37.5,2,47.5,1.0,94.53118856879999,99.9,1.0
165864,240741942,13.0,1,37.5,2,47.5,1.0,720.9057040389999,99.9,0.0
165926,240741942,13.0,1,37.5,2,47.5,1.0,534.681625445,108.9,0.0
166937,240741942,13.0,1,37.5,2,47.5,1.0,354.21994648099997,200.20909090900003,0.0
167412,241717562,10.0,2,42.0,3,43.0,0.0,48.748447362,291.518181818,0.0
167530,11898110,6.0,1,31.0,1,37.0,0.0,160.02476445850002,382.82727272699987,0.0
168051,13863724,10.0,1,61.0,1,72.0,0.0,271.301081555,474.136363636,0.0
168585,240741942,13.0,1,37.5,2,47.5,1.0,929.756433542,108.9,0.0
168984,258468946,6.0,1,34.0,4,43.0,0.0,337.27073043,108.9,0.0
169150,241717562,10.0,2,42.0,3,43.0,0.0,200.35704491299998,108.9,0.0
169565,13863720,10.0,1,46.0,1,56.0,0.0,205.412854994,108.9,0.0
169725,240741942,13.0,1,37.5,2,47.5,1.0,955.7266561519999,108.9,0.0
170015,240741942,13.0,1,37.5,2,47.5,1.0,203.694178235,99.9,0.0
171045,13863724,10.0,1,61.0,1,72.0,0.0,225.55462098599997,474.136363636,0.0
171324,240741942,13.0,1,37.5,2,47.5,1.0,279.72665036,108.9,0.0
171871,258468828,6.0,1,34.0,4,43.0,0.0,704.527248955,108.9,0.0
172058,258468828,6.0,1,34.0,4,43.0,0.0,823.7329428160001,108.9,0.0
172165,240741942,13.0,1,37.5,2,47.5,1.0,477.07543250599997,108.9,0.0
172212,13863724,10.0,1,61.0,1,72.0,0.0,324.355968854,398.9,0.0
172463,241717562,10.0,2,42.0,3,43.0,0.0,39.0022365358,325.69,0.0
172776,13863720,10.0,1,46.0,1,56.0,0.0,232.80815552299998,252.48,1.0
173068,240741942,13.0,1,37.5,2,47.5,1.0,474.71958514199997,109.268421053,0.0
173117,11898110,6.0,1,31.0,1,37.0,0.0,699.0482418160001,94.12,0.0
173126,258468946,6.0,1,34.0,4,43.0,0.0,569.291065441,83.83,1.0
173366,13863724,10.0,1,61.0,1,72.0,0.0,2.51293356286,422.9,0.0
173477,11898110,6.0,1,31.0,1,37.0,0.0,634.324042584,73.52,0.0
173594,13863720,10.0,1,46.0,1,56.0,0.0,115.775229306,268.593333333,0.0
173659,13863720,10.0,1,46.0,1,56.0,0.0,465.341440448,268.593333333,0.0
174228,240741942,13.0,1,37.5,2,47.5,1.0,281.93415526900003,101.9,0.0
174635,13863720,10.0,1,46.0,1,56.0,0.0,144.91142989,266.79,0.0
175089,240741942,13.0,1,37.5,2,47.5,1.0,516.015205099,108.9,0.0
175618,13863720,10.0,1,46.0,1,56.0,0.0,88.5508905296,324.99,0.0
175767,240741942,13.0,1,37.5,2,47.5,1.0,879.811097079,99.9,0.0
175790,13863720,10.0,1,46.0,1,56.0,0.0,110.439810493,183.34500000000003,0.0
175887,13863720,10.0,1,46.0,1,56.0,0.0,47.1120769747,266.79,0.0
176084,258468946,6.0,1,34.0,4,43.0,0.0,496.418970845,266.79,0.0
176147,13863720,10.0,1,46.0,1,56.0,0.0,840.3477183030002,266.79,0.0
176237,258468828,6.0,1,34.0,4,43.0,0.0,487.87225675699995,225.71035714275,0.0
176277,240741908,13.0,1,37.5,2,64.5,1.0,869.867142453,184.6307142855,0.0
176368,13863720,10.0,1,46.0,1,56.0,0.0,888.272112519,143.55107142825,0.0
176514,240741942,13.0,1,37.5,2,47.5,1.0,171.988193182,102.471428571,0.0
176731,11898110,6.0,1,31.0,1,37.0,0.0,1.92096245575,105.6857142855,0.0
176926,240741942,13.0,1,37.5,2,47.5,1.0,473.622442257,108.9,0.0
177007,13863720,10.0,1,46.0,1,56.0,0.0,446.243569027,266.79,0.0
177540,240741908,13.0,1,37.5,2,64.5,1.0,698.0526028630002,318.626590909,0.0
177762,13863720,10.0,1,46.0,1,56.0,0.0,524.855683951,370.463181818,0.0
177823,241717562,10.0,2,42.0,3,43.0,0.0,262.430134641,422.29977272699995,0.0
178057,13863724,10.0,1,61.0,1,72.0,0.0,537.079742927,474.136363636,0.0
178415,240741942,13.0,1,37.5,2,47.5,1.0,363.018331933,101.025,0.0
178576,13863720,10.0,1,46.0,1,56.0,0.0,49.202948167399995,252.48,0.0
178971,240741942,13.0,1,37.5,2,47.5,1.0,622.210183305,108.9,0.0
179038,240741942,13.0,1,37.5,2,47.5,1.0,587.534525177,108.9,0.0
179468,13863720,10.0,1,46.0,1,56.0,0.0,671.663743241,266.79,0.0
179526,240741908,13.0,1,37.5,2,64.5,1.0,421.942881506,129.9,0.0
179531,240741942,13.0,1,37.5,2,47.5,1.0,317.943007477,99.9,0.0
179611,13863720,10.0,1,46.0,1,56.0,0.0,575.377529556,88.81666666665001,0.0
179698,258468828,6.0,1,34.0,4,43.0,0.0,631.512526601,77.7333333333,1.0
180172,240741908,13.0,1,37.5,2,64.5,1.0,175.122242745,77.7333333333,0.0
